,0,1,2,3
0,Documento,Tipo data,Data documento,Pb Fol
1,XVII_46,when,0900-05-24,fol_065v
2,CCCCXLI_402,when,0950-01,fol_346r
3,XVIII_47,when,0963-05-19,fol_066r
4,XVIIII_48,when,0981-07-18,fol_067r
5,CCLXXXXVII_259,when,0998-03-30,fol_281v
6,CCXXIIII_185,when,0998-07-26,fol_252r
7,CCXVIIII_180,when,0998-10-14,fol_250v
8,CCXXI_182,when,1021-01,fol_251r
9,CCXX_181,when,1021-01,none
10,XX_49,when,1027-04-07,fol_067v
11,CCCCLXXXVIII_449,when,1039-09-04,fol_369r
12,CCLXXXXVI_258,when,1055-05-05,fol_280v
13,XXX_59,when,1066-01-19,fol_117v
14,CCCXXIIII_286,when,1070-03-08,none
15,CCCCVIIII_370,when,1075-09-03,none
16,CCXXVI_187,when,1078-06-14,fol_253r
17,CCXXV_186,when,1078-06-14,fol_252v
18,CCXXIII_184,when,1084-06,fol_251v
19,CCLXVII_229,when,1096-03,fol_270v
20,L_78,when,1124-10-18,fol_142r
21,DIII_464,when,1134-03-19,none
22,CCCLXXXVIIII_350,when,1139-02,fol_320r
23,CXXXI_148,when,1140-02,fol_232r
24,LXIII_90,notBefore,1140-07,fol_192r
25,CCCL_312,when,1140-11,none
26,LVIIII_86,when,1141-01-13,fol_162r
27,CCCIII_265,from,1141-09-24,none
28,CCCLXX_332,when,1144-03-23,none
29,CCCXLIII_305,when,1146-03-09,fol_304v
30,I_30,when,1148-11-11,fol_057v
31,CCCXLVIIII_311,notBefore,1150-01-01,fol_307r
32,CCCLIIII_316,when,1151-12-03,none
33,CCCXXVI_288,when,1151-12-03,none
34,CCCLXXXVI_347,when,1153-06-01,fol_319r
35,II_31,when,1154-03-18,fol_058v
36,DXVI_477,when,1160-01-26,fol_384v
37,CCXXXVI_197,when,1161-08-06,fol_257v
38,CCLXX_232,when,1164-04-03,none
39,CCCIIII_266,when,1168-02-24,fol_285r
40,LXI_88,when,1170-08,fol_191r
41,DXXXIII_494,when,1174-02-11,fol_397r
42,DXLII_503,when,1176-02-02,fol_401v
43,XXIIII_53,from,1176-04-13,fol_074r
44,CXL_157,from,1178-01-01,fol_237r
45,CCCXXV_287,when,1178-10,fol_296v
46,XVI_45,when,1179-04-25,fol_064v
47,CCCI_263,from,1180-01-01,fol_284r
48,CCLV_216,from,1180-01-01,none
49,CCLXXXXI_253,from,1180-01-01,none
50,CCCXIIII_276,when,1180-11-12,fol_289v
51,CCLXII_223,when,1180-12-06,fol_268v
52,DVIII_469,when,1181-02-07,none
53,DVII_468,when,1181-03-07,fol_378v
54,LXXXXI_108,when,1181-03-08,fol_206r
55,DXXVII_488,when,1181-04-16,fol_392v
56,DXXXI_492,when,1181-04-17,fol_396r
57,DXXXII_493,when,1181-08-28,fol_396v
58,DXVII_478,from,1181-10-17,fol_385r
59,CCCCLXXI_433,from,1182-01-07,fol_361r
60,CCXXVIIII_190,when,1182-03-04,none
61,V_34,from,1182-05-26,none
62,X_39,when,1183-02-06,fol_062r
63,CCCLXVIIII_331,when,1183-06-30,fol_312v
64,CCLXVIIII_231,when,1184-04-03,fol_271r
65,DVIIII_470,when,1184-04-03,fol_379r
66,D_461,when,1184-04-04,fol_375r
67,DXXXIIII_495,when,1184-12-22,none
68,VI_35,when,1185-06-13,none
69,DXXX_491,when,1185-07-29,fol_395v
70,XXI_50,when,1185-07-29,fol_068v
71,CCCCLXXXXVIII_459,when,1186-03-28,fol_374bisr
72,CCCXVII_279,when,1186-03-29,fol_292v
73,CCCCLXXXXVIIII_460,when,1186-05-16,fol_374bisv
74,XII_41,from,1186-09-10,fol_062v
75,DXXXXI_502,when,1186-11-12,fol_401r
76,DXXXV_496,when,1187-02-26,fol_397v
77,DXXXV_496xml,when,1187-02-26,none
78,CCLXI_222,when,1187-11-13,none
79,CCXXVIII_189,when,1188-02-27,fol_254r
80,CCXLI_202,when,1188-03-28,fol_259v
81,CCCLVI_318,when,1188-04-05,none
82,CIII_120,when,1188-08-17,fol_219v
83,CCCLXI_323,when,1189-03-20,none
84,CCXXVII_188,when,1189-05-01,fol_253v
85,CCCLXXVI_338,when,1189-11-11,none
86,CCCLXII_324,when,1190-02-11,fol_311r
87,XXII_51,when,1191-02-23,fol_070r
88,LXXXVII_104,when,1193-11-05,fol_203r
89,CCCLXXXX_351,when,1195-12-24,none
90,CCCCLXXXXI_452,when,1196-02-05,fol_370v
91,XLVIIII_77,when,1196-12-05,fol_139v
92,CCCLXIII_325,when,1197-01-02,none
93,CCCCX_371,when,1197-01-23,fol_329v
94,CCCLXXIIII_336,when,1197-05-13,fol_314v
95,DXI_472,when,1197-07-15,none
96,CCLVI_217,when,1197-11-06,fol_265v
97,CCCVIII_270,when,1197-12-10,fol_286r
98,CCLVIII_219,when,1197-12-11,fol_267r
99,CCXXXVIIII_200,when,1197-12-11,fol_259r
100,CCXXXVIIII_200,when,1197-12-11,fol_259r
101,CCLI_212,when,1197-12-12,fol_264r
102,CCLVII_218,when,1197-12-12,fol_266v
103,CCXLV_206,when,1197-12-12,none
104,CCXL_201,when,1197-12-12,none
105,CXLVI_164,when,1198-02-11,fol_242r
106,CCCLXXIII_335,when,1198-02-12,fol_314r
107,DXXVIII_489,when,1198-03-16,fol_393v
