,0,1,2,3,4,5,6,7
0,idFamiglia,Nome,Descrizione,Lista persone,Documento prima attestazione,Data documento prima attestazione,Numero Occorrenze,File occorrenza
1,AdelbertiFamilia,Adelberti / Odelberti,Famiglia del ceto dirigente di Pontremoli. Si veda FERRARI 1938,,CCCCLXXII_434,1218-08-06,4,"['CCCCLXXII_434', 'CCCCLXXIII_435', 'XV_44', 'A01']"
2,ActocaniFamilia,Attocani / Actocani,Famiglia nobile di Bibola.,"#AttocanisBibola, #AttolinusAttocanini, #BomasinusAttocanini, #GerardinusAttocanini, #OpecinusAttocanini, #PetrusAttocanini, ",CXLII_160,1259-08-17,1,['CXLII_160']
3,AldebertiFamilia_Tivegna,Aledeberti,Consorzio familiare dei domini di Tivegna.,"#AldebrandetusAlberti, #BonifaciusIordani, #GerardusCalatronus, #GualterinusNoçardi, #HenricusAlbertini, #MartinusStranbo, #PalmerinusAlbertini, ",CCCCLXXVIIII_441,1252-10-06,2,"['CCCCLXXVIIII_441', 'B02']"
4,BlanciHerberiaFamilia,Bianchi di Erberia / Herberia,Consorzio familiare dei Bianchi di Erberia.,"#AldoinusGibertini, #ArduinusGuideti, #BernardinusHerberia, #BernardinusGuidonis, #BonifaciusHerberia, #HarduinusGiberti, #GibertinusHarduini, #GibertinusHenrici, #GuidoGerardiHerb, #GuidoHerb, #HenricusBlancus, #LanfranchinusHerberia, #LanfrancusHerberia, #PalmerinusGuidonis, #PetrusBernardiniHerberia, #PetrusGirardini, #PetrusHerberia, #RollandusHenriciHerberia, #SibiliaHerberia, #TorisendusGibertini, #UgoHerberia, ",DXXXX_501,1202-05-31,9,"['DXXXX_501', 'LIII_80', 'CCLIIII_215', 'CCXLIIII_205', 'DXV_476', 'C06', 'C11', 'C05', 'B02']"
5,BibolaFamilia,"Bibola, domini de",Consorzio familiare dei domini di Bibola. Sono qui elencati di seguito personaggi detti nel Codice de Bibola anche se non è certa l'appartenenza al consorzio.,"#ConradusBibola, #EzoBibola, #OdoBibola, #PaganinusBibola, #ParensPatrisii, #RollandusAlberti, #VitaPetri, ",DXXXX_501,1202-05-31,1,['DXXXX_501']
6,BriaviaFamilia,"Briavia, domini de",,,C16,1273-04-25,1,['C16']
7,BozanoFamilia,"Buçano / Buzano / Bozano / Buiano, domini de",Consorzio familiare dei domini di Bozano / da Buggiano. Sono qui elencati di seguito personaggi detti nel Codice de Buçano / Buzano / Bozano anche se non è certa l'appartenenza al consorzio.,"#BonacursusBuiano, #BonacursusLevacastelli, #CatiaRegis, #DavellusBozano, #GerardusCanichia, #GregoriusBuzano, #GuidoCanichia, #GuiliemusBuçano, #LevacastellusBuzano, #RofinusBoz, #SyfreduciusBu, #Tedalasius, ",DXVI_477,1160-01-26,6,"['DXVI_477', 'DXXXX_501', 'C21', 'DXXVI_487', 'A01', 'B02']"
8,BurcioneFamilia,"Burcione, domini de",Consorzio familiare dei domini di Burcione. Sono qui elencati di seguito personaggi detti nel Codice de Burcione anche se non è certa l'appartenenza al consorzio.,"#AlbertusGuilielmiBurçono, #BlancusGuilielmiBurçono, #BonfidelisBurçono, #BuldroneBur, #BusdroHenrici, #Codeiudeus, #GibertinusCodeFal, #GuibertusBurcione, #GuiliemusBurçono, #HenricusGuilielmiBurçono, #OddoBurcione, #PeregrinusGotezonis, #RollandinusStadano, #RollandusBurcione, #RolandusGuilielmiBurçono, #UbertusBurcione, #UrsolusBur, ",DXVI_477,1160-01-26,5,"['DXVI_477', 'DXXXX_501', 'DXXVI_487', 'A01', 'B02']"
9,CastelloFamilia,"Castello, domini de",,"#TruffaCastello, ",DXXXX_501,1202-05-31,1,['DXXXX_501']
10,CorchiolaFamilia,"Corchiola, consortes de",,,CCCLXXXXVI_357,1236-02-28,1,['CCCLXXXXVI_357']
11,CorsarellisFamilia,Corsarellis,,"#GordianusCorsarellis, ",C22,1276-10-16,1,['C22']
12,CorvariaVallecchiaFamilia,"Corvaia e Vallecchia, domini de",Consorzio familiare dei domini di Corvaia e Vallecchia. Sono qui elencati di seguito personaggi detti nel Codice de Corvaria o de Vallechia anche se non è certa l'appartenenza al consorzio.,"#AlbertusVallechia_canonicus, #BonifaciusVallecchia, #ArduinusVallecla, #BaldinotusVallecla, #BernardusVallecla, #BonifaciusVallecchia, #CiconusVallecla, #GerardusVallecla, #GiliolusVallechia, #GrumpusVallecla, #GualteroneVallechia, #GuidoVal, #GuilielmusVallechia, #LambernonusVallecla, #MarchesinusVallecla, #MimonusVallecla, #OppicinusVallechia, #HormannusVallechia, #PanicaciusVallecla, #ParensVallecla, #ParentinusVallecla, #PlacentinusVallecla, #RaimundusVallecla, #RetondolusVallecla, #RollandusBonifacii, #SegnoretusVallecla, #SegnorinusVallecla, #TancredinusVal, #TrumpusVallecla, #UbaldusVallecla, #UbertinusVallechia, #VillanellusVallecla, #VillanusVallecla, #AldebrandinusVeltri, #ConradusCorvaria, #ParensCorvaria, #RaineriusCorvaria, #TodescusRoffin, #UgoCorvaria, #VeltusCorvaria, #VeltrusCorvaria, #VeltroGuilielmiCorvaria, ",DXXXX_501,1202-05-31,2,"['DXXXX_501', 'LV_82']"
