,0,1,2,3,4,5,6,7,8,9
0,idPersona,Nome,Cognome,Sex,Mestiere,Note,Documento prima attestazione,Data documento prima attestazione,Numero Occorrenze,File occorrenza
1,A.EpLuni,A.,,M,episcopus Lunensis,"Vescovo di Luni, di cui è possibile attualmente sciogliere il nome proprio in
              Alberto o Andrea.",DXVI_477,1160-01-26,2,"['DXVI_477', 'A01']"
2,Abandonatus,Abandonatus,,M,,,XXIIII_53,1176-04-13,1,['XXIIII_53']
3,AbbatusAlberti,Abbas / Abbate,filio quondam Alberti,M,,,CCCCLXXXXI_452,1196-02-05,1,['CCCCLXXXXI_452']
4,AbbatinusGiovagallo,Abbatinus,de Iuvagallo,M,nobilis,,CCCCXXXI_392,1235-06-03,1,['CCCCXXXI_392']
5,AbbatinusPrato,Abbatinus,de Prato,M,,,CCCCXX_381,1257-02-17,1,['CCCCXX_381']
6,AbraçadellusCorneta,Abraçadellus,de Corneta,M,,,C03,1273-04-25,2,"['C03', 'G528']"
7,AbraçaleneBarbazano,Abraçalene,de Barbazano,M,,,CCCLXXVIIII_341,1237-01-26,1,['CCCLXXVIIII_341']
8,Abraçabene,Abraciabene / Abraçabene,,M,,,CCCLXXXIII_344,1255-10-22,3,"['CCCLXXXIII_344', 'C03', 'G528']"
9,AbraciabenecastroSarzane,Abraciabene / Abraçabene,de castro Sarzane,M,,,XXVII_56,1285-01-01,1,['XXVII_56']
10,AbraçabeneUgolini,Abraciabene / Abraçabene,quondam Ugolini,M,,,CCCLXXXIII_344,1255-10-22,1,['CCCLXXXIII_344']
11,Abraciator,"Abraciator / Abraciatore / Abraciadore / Abracciadore /
                Abbraçatore",,M,,,LXXVIII_95,1231-08-19,5,"['LXXVIII_95', 'XXVI_55', 'CXXXV_152', 'C03', 'XXVII_56']"
12,Abraciadore_becarius,Abraciator / Abraciatore / Abraciadore / Abracciadore,,M,becarius,,XXVIII_57,1269-06-08,1,['XXVIII_57']
13,AbraciatorArmannini,Abraciator / Abraciatore / Abraciadore / Abracciadore,quondam Armannini,M,,,CXXXV_152,1238-05-04,1,['CXXXV_152']
14,AbraciatusPonzano,Abraciatus,de Ponzano,M,,,CCCCXI_372,1202-06-09,1,['CCCCXI_372']
15,AcatellusInoplena,Acatellus,Inoplena,M,,,CCCCLXXVIII_440,1229-05-22,1,['CCCCLXXVIII_440']
16,Accaptucius,Acaptucius / Accaptucius ,,M,,,C24,1274-06-22,1,['C24']
17,AcaptuciusAmelia,Acaptucius / Accaptucius ,de Amelia,M,,,XXVII_56,1285-01-01,1,['XXVII_56']
18,Accattus,Accattus / Acaptus,,M,,,XXXXV_73,1245-02-28,2,"['XXXXV_73', 'C03']"
19,AcaptusRardus,Accattus / Acaptus,Rardus filius quondam Bonacursetti de Morselleria,M,,,XXVII_56,1285-01-01,1,['XXVII_56']
